origin               destination        
Admiralty            Admiralty                344.5
                     Outram Park NSEW        1999.0
                     Pasir Panjang           2002.5
                     Phoenix                 2034.0
                     Tanjong Pagar           2088.0
                     Woodlands               2146.0
                     Botanic Gardens CCL     2162.5
                     Caldecott               2164.5
                     Labrador Park           2177.5
                     Outram Park NEL         2178.0
                     Segar                   2222.0
                     Teck Whye               2232.0
                     Raffles Place           2238.0
                     Admiralty               2278.0
                     Tan Kah Kee             2292.0
                     Marymount               2349.0
                     Sixth Avenue            2373.0
                     Chinatown NEL           2376.0
                     City Hall               2397.5
                     Marina Bay              2401.0
                     Chinatown DTL           2455.0
                     Bugis NSEW              2480.0
                     Lorong Chuan            2522.0
                     Clarke Quay             2541.0
                     Bishan CCL              2565.0
                     HarbourFront NEL        2569.5
                     Bishan NSEW             2582.0
                     HarbourFront CCL        2613.5
                     Somerset                2622.5
                     Dhoby Ghaut NSEW        2626.0
                     Stevens                 2646.0
                     Sembawang               2649.0
                     Rochor                  2704.5
                     Lavender                2706.5
                     Newton DTL              2710.0
                     Telok Ayer              2726.0
                     Kallang                 2748.0
                     Fajar                   2768.0
                     Orchard                 2778.0
                     Dhoby Ghaut NEL         2779.0
                     Serangoon CCL           2784.0
                     Yishun                  2804.0
                     Bras Basah              2813.0
                     Esplanade               2818.0
                     Little India NEL        2821.0
                     Khatib                  2834.0
                     Serangoon NEL           2858.0
                     Paya Lebar NSEW         2912.0
                     Bayfront CCL            2918.5
                     Boon Keng               2933.5
                     Farrer Park             2949.0
                     Aljunied                2951.5
                     King Albert Park        2964.0
                     Newton NSEW             2971.0
                     Promenade               2976.0
                     Ang Mo Kio              3011.5
                     Braddell                3087.0
                     Tai Seng                3091.0
                     Eunos                   3144.0
                     Yio Chu Kang            3165.0
                     Stadium                 3177.0
                     Toa Payoh               3190.0
                     Novena                  3209.0
                     Downtown                3266.0
                     MacPherson CCL          3298.0
                     Bugis DTL               3303.0
                     Kembangan               3312.0
                     Paya Lebar CCL          3319.0
                     Potong Pasir            3449.0
                     Bedok                   3475.0
                     Hougang                 3566.5
                     Sengkang                3569.0
                     Bartley                 3578.5
                     Kovan                   3673.0
                     Tanah Merah             3723.0
                     Buangkok                3761.5
                     Expo NSEW               3905.0
                     Simei                   3953.0
                     Punggol                 3983.0
                     Tampines NSEW           4007.0
                     Marina South Pier       4036.0
                     Pasir Ris               4076.0
                     Ranggung                4163.0
                     Compassvale             4244.0
                     Layar                   4385.0
                     Changi Airport          4458.0
                     Tongkang                4509.0
                     Kadaloor                4781.0
Botanic Gardens CCL  Botanic Gardens DTL      106.0
                     Farrer Road              346.0
                     Holland Village          410.0
                     Caldecott                475.0
                     Stevens                  478.0
                     Buona Vista CCL          545.0
                     Sixth Avenue             570.0
                     Newton DTL               580.5
                     Marymount                622.0
                     one-north                694.5
                     King Albert Park         746.0
                     Bishan CCL               801.0
                     Little India DTL         812.0
                     Rochor                   831.5
                     Beauty World             838.5
                     Kent Ridge               847.0
                     Hillview                 924.0
                     Dover                    945.0
                     Lorong Chuan             945.0
                     Boon Keng                974.0
                     Commonwealth             978.5
                     Serangoon CCL            985.0
                     Haw Par Villa            988.5
                     Bugis DTL                998.0
                     Clementi                1032.0
                     Pasir Panjang           1047.5
                     Promenade               1095.0
                     Toa Payoh               1207.0
                     Downtown                1211.0
                     Labrador Park           1251.0
                     Bukit Panjang DTL       1258.0
                     Clarke Quay             1259.0
                     Ang Mo Kio              1298.0
                     Tai Seng                1308.0
                     Telok Blangah           1348.0
                     Telok Ayer              1368.0
                     Bartley                 1385.0
                     Jurong East             1433.0
                     Chinatown DTL           1434.0
                     Kovan                   1453.0
                     Outram Park NEL         1477.0
                     Serangoon NEL           1480.0
                     Paya Lebar CCL          1528.0
                     Outram Park NSEW        1529.0
                     Orchard                 1560.0
                     HarbourFront CCL        1563.0
                     Raffles Place           1567.0
                     Bras Basah              1584.0
                     Paya Lebar NSEW         1685.0
                     Tanjong Pagar           1741.5
                     Dhoby Ghaut NEL         1873.0
                     Boon Lay                1903.0
                     Pioneer                 1969.0
                     Kembangan               2251.0
                     Joo Koon                2260.0
                     Punggol                 2267.0
                     Bedok                   2273.0
                     Admiralty               2283.0
                     Woodlands               2583.0
                     Expo NSEW               2966.5
                     Pasir Ris               2973.0
                     Botanic Gardens CCL     9153.0
Botanic Gardens DTL  Botanic Gardens CCL       98.0
                     King Albert Park         496.0
                     Newton DTL               525.0
                     Caldecott                576.0
                     Buona Vista CCL          656.0
                     Beauty World             712.5
                     one-north                732.0
                     Bugis DTL                735.5
                     Hillview                 907.0
                     Kent Ridge              1001.5
                     Promenade               1027.0
                     Bukit Panjang DTL       1097.0
                     Downtown                1115.0
                     Lavender                1141.0
                     Telok Ayer              1229.5
                     City Hall               1292.0
                     Labrador Park           1348.0
                     Raffles Place           1353.0
                     Marina Bay              1365.0
                     Aljunied                1372.0
                     Tanjong Pagar           1431.0
                     Yio Chu Kang            1438.0
                     MacPherson CCL          1622.0
Braddell             Bishan NSEW              271.0
                     Toa Payoh                283.0
                     Bishan CCL               297.0
                     Novena                   458.0
                     Ang Mo Kio               482.5
                     Lorong Chuan             549.0
                     Newton NSEW              569.0
                     Yio Chu Kang             667.5
                     Marymount                709.0
                     Orchard                  728.0
                     Serangoon CCL            771.0
                     Somerset                 859.5
                     Kovan                    906.0
                     Dhoby Ghaut NSEW         977.0
                     Tai Seng                1026.0
                     Yishun                  1087.0
                     Dhoby Ghaut NEL         1095.0
                     City Hall               1129.0
                     Botanic Gardens CCL     1145.5
                     Khatib                  1156.0
                     Holland Village         1157.0
                     Hougang                 1202.0
                     MacPherson CCL          1208.0
                     Paya Lebar CCL          1313.5
                     Raffles Place           1328.0
                     Clarke Quay             1352.0
                     Esplanade               1361.0
                     Bras Basah              1362.0
                     Sembawang               1399.0
                     Marina Bay              1417.0
                     Bugis NSEW              1439.0
                     Paya Lebar NSEW         1456.5
                     Little India NEL        1474.0
                     Dakota                  1476.0
                     Mountbatten             1476.5
                     Farrer Park             1487.0
                     Chinatown NEL           1511.0
                     Tanjong Pagar           1517.0
                     Buona Vista CCL         1548.0
                     Bayfront DTL            1553.0
                     Promenade               1580.0
                     one-north               1584.0
                     Boon Keng               1584.0
                     Lavender                1584.0
                     Outram Park NSEW        1598.0
                     Tiong Bahru             1617.0
                     Admiralty               1626.0
                     Compassvale             1682.0
                     Aljunied                1733.0
                     Commonwealth            1762.0
                     Kembangan               1768.0
                     Outram Park NEL         1782.5
                     Haw Par Villa           1802.0
                     Kent Ridge              1807.0
                     Woodlands               1843.0
                     Redhill                 1855.5
                     Dover                   1859.0
                     Punggol                 1866.0
                     HarbourFront NEL        1877.0
                     HarbourFront CCL        1892.5
                     Stadium                 1896.0
                     Clementi                1951.0
                     Queenstown              1972.0
                     Bayfront CCL            1988.0
                     Marsiling               2003.0
                     Pasir Panjang           2045.5
                     Kranji                  2078.5
                     Bedok                   2142.0
                     Braddell                2210.5
                     Telok Blangah           2246.5
                     Labrador Park           2289.5
                     Yew Tee                 2325.5
                     Kangkar                 2359.0
                     Simei                   2376.0
                     Tanah Merah             2506.0
                     Lakeside                2549.0
                     Choa Chu Kang           2559.0
                     Tampines NSEW           2662.0
                     Expo NSEW               2739.0
                     Bukit Gombak            2889.0
                     Pioneer                 2985.0
                     Pasir Ris               2991.0
                     Teck Whye               3131.0
                     Boon Lay                3199.0
                     Jurong East             3203.5
                     Joo Koon                3451.0
                     Changi Airport          4448.0
Bras Basah           Dhoby Ghaut NSEW         355.5
                     Esplanade                446.0
                     Promenade                485.0
                     Dhoby Ghaut NEL          489.0
                     Farrer Park              635.0
                     Somerset                 679.0
                     Stadium                  746.5
                     Mountbatten              790.0
                     Boon Keng                806.0
                     Novena                   814.0
                     Little India NEL         821.0
                     Newton NSEW              859.0
                     Orchard                  870.0
                     Downtown                 873.0
                     Telok Ayer               875.0
                     Raffles Place            899.0
                     Chinatown NEL           1110.0
                     Bayfront CCL            1126.0
                     Paya Lebar NSEW         1186.5
                     MacPherson CCL          1214.0
                     Bugis DTL               1229.0
                     HarbourFront NEL        1355.0
                     Tai Seng                1385.0
                     Tanjong Pagar           1397.5
                     Ang Mo Kio              1428.0
                     Toa Payoh               1455.0
                     Kembangan               1467.0
                     Kovan                   1467.0
                     Labrador Park           1492.0
                     HarbourFront CCL        1531.0
                     Serangoon CCL           1603.0
                     Haw Par Villa           1680.0
                     Marina South Pier       1860.0
                     Redhill                 1952.0
                     Yishun                  2139.0
                     Simei                   2184.0
                     Tanah Merah             2221.0
                     Rumbia                  2275.0
                     Jurong East             2291.0
                     Botanic Gardens CCL     2522.5
                     Expo NSEW               2972.0
                     Bukit Gombak            2989.0
                     Changi Airport          3467.0
                     Dakota                  3936.5
                     Outram Park NSEW        4428.0
                     Kranji                  4779.0
                     Bras Basah             17708.0
Buangkok             Sengkang                 259.0
                     Hougang                  297.0
                     Kovan                    475.0
                     Punggol                  507.0
                     Cheng Lim                558.0
                     Farmway                  609.0
                     Serangoon NEL            630.0
                     Rumbia                   652.0
                     Serangoon CCL            764.0
                     Woodleigh                765.0
                     Bakau                    833.0
                     Potong Pasir             862.5
                     Fernvale                 887.0
                     Kadaloor                 892.0
                     Meridian                 929.0
                     Buangkok                 934.0
                     Nibong                   961.0
                     Boon Keng                996.0
                     Coral Edge              1043.0
                     Lorong Chuan            1070.0
                     Tai Seng                1099.0
                     Farrer Park             1146.0
                     Little India NEL        1245.0
                     Bishan CCL              1265.0
                     MacPherson CCL          1275.5
                     Little India DTL        1348.5
                     Marymount               1373.0
                     Dhoby Ghaut NEL         1413.0
                     Paya Lebar CCL          1451.0
                     Paya Lebar NSEW         1483.0
                     Clarke Quay             1498.0
                     Braddell                1509.5
                     Caldecott               1518.0
                     Dhoby Ghaut NSEW        1563.5
                     Newton DTL              1595.0
                     Chinatown NEL           1604.0
                     Dakota                  1657.0
                     Rochor                  1665.0
                     Ang Mo Kio              1688.0
                     City Hall               1743.0
                     Outram Park NEL         1751.0
                     Aljunied                1754.0
                     Mountbatten             1768.0
                     Stevens                 1769.0
                     Somerset                1784.5
                     Bugis DTL               1786.0
                     Chinatown DTL           1794.0
                     Esplanade               1802.0
                     Botanic Gardens CCL     1812.0
                     Nicoll Highway          1828.0
                     Telok Ayer              1843.0
                     Bras Basah              1852.0
                     Toa Payoh               1861.0
                     Novena                  1880.0
                     Orchard                 1882.0
                     Eunos                   1885.0
                     Bugis NSEW              1895.5
                     Yio Chu Kang            1918.0
                     Stadium                 1919.0
                     Kembangan               1929.0
                     Raffles Place           1939.0
                     Promenade               1939.5
                     Outram Park NSEW        1961.0
                     HarbourFront NEL        1988.0
                     HarbourFront CCL        2028.0
                     Downtown                2040.5
                     Tiong Bahru             2081.5
                     Bedok                   2100.0
                     King Albert Park        2140.0
                     Bayfront CCL            2165.0
                     Tanjong Pagar           2198.5
                     Redhill                 2204.0
                     Buona Vista CCL         2213.5
                     one-north               2262.0
                     Telok Blangah           2292.0
                     Dover                   2306.0
                     Beauty World            2313.5
                     Labrador Park           2363.5
                     Kent Ridge              2396.0
                     Sembawang               2428.0
                     Lavender                2448.5
                     Pasir Panjang           2469.0
                     Commonwealth            2512.0
                     Tampines NSEW           2559.0
                     Buona Vista NSEW        2643.0
                     Queenstown              2688.5
                     Expo NSEW               2713.0
                     Haw Par Villa           2729.5
                     Clementi                2812.0
                     Marsiling               3046.0
                     Bukit Panjang DTL       3462.0
                     Jurong East             3471.0
                     Pioneer                 3505.0
                     Boon Lay                3643.0
                     Bukit Gombak            3948.0
                     Bukit Batok             4086.0
                     Joo Koon                4215.0
                     Changi Airport          4242.0
Bugis DTL            Bugis DTL                 89.0
                     Little India DTL         281.0
                     Rochor                   284.5
                     Bayfront DTL             388.0
                     Bugis NSEW               391.0
                     Promenade                408.0
                     Bayfront CCL             414.0
                     Nicoll Highway           465.0
                     Little India NEL         475.0
                     City Hall                480.0
                     Downtown                 527.0
                     Newton DTL               546.5
                     Stevens                  559.0
                     Esplanade                622.5
                     Telok Ayer               622.5
                     Chinatown NEL            700.0
                     Stadium                  720.5
                     Chinatown DTL            789.5
                     Raffles Place            795.0
                     Clarke Quay              837.0
                     Tan Kah Kee              860.0
                     Orchard                  896.0
                     Sixth Avenue             917.5
                     Botanic Gardens DTL      951.0
                     Botanic Gardens CCL      996.0
                     Woodleigh               1082.0
                     King Albert Park        1101.0
                     Dhoby Ghaut NEL         1108.0
                     Queenstown              1248.0
                     Beauty World            1312.5
                     HarbourFront CCL        1355.5
                     HarbourFront NEL        1378.0
                     Serangoon NEL           1392.0
                     Caldecott               1453.0
                     Hougang                 1519.0
                     one-north               1552.0
                     Buona Vista CCL         1610.0
                     Bukit Panjang DTL       1654.0
                     Kent Ridge              1688.0
                     Pasir Panjang           1756.0
                     Clementi                2087.0
                     Jurong East             2166.0
                     Changi Airport          2501.0
Bugis NSEW           Lavender                 267.0
                     City Hall                274.0
                     Kallang                  418.0
                     Raffles Place            423.0
                     Dhoby Ghaut NSEW         433.0
                     Promenade                463.0
                     Little India DTL         489.0
                     Aljunied                 525.0
                     Tanjong Pagar            529.0
                     Somerset                 592.0
                     Bayfront DTL             620.5
                     Downtown                 643.5
                     Outram Park NSEW         654.0
                     Paya Lebar NSEW          661.5
                     Paya Lebar CCL           700.0
                     Orchard                  703.5
                     Dhoby Ghaut NEL          737.0
                     Stadium                  762.0
                     Telok Ayer               767.5
                     Newton DTL               770.0
                     Nicoll Highway           795.0
                     Tiong Bahru              808.0
                     Outram Park NEL          813.0
                     Eunos                    842.0
                     Bayfront CCL             862.5
                     Redhill                  927.0
                     Farrer Park              958.5
                     Kembangan                964.0
                     Novena                   976.0
                     Marina South Pier        998.0
                     Chinatown DTL           1003.0
                     Toa Payoh               1025.0
                     Queenstown              1043.5
                     Tai Seng                1090.0
                     MacPherson CCL          1130.5
                     Commonwealth            1138.0
                     Bedok                   1142.0
                     Clarke Quay             1269.0
                     Serangoon NEL           1282.0
                     Tanah Merah             1304.0
                     HarbourFront CCL        1308.0
                     Buona Vista NSEW        1320.0
                     HarbourFront NEL        1355.0
                     Ang Mo Kio              1400.0
                     Dover                   1414.0
                     Serangoon CCL           1415.0
                     Beauty World            1428.0
                     Buona Vista CCL         1428.0
                     Holland Village         1465.0
                     Bishan CCL              1483.0
                     Simei                   1506.0
                     Cashew                  1561.0
                     Clementi                1665.5
                     Tampines NSEW           1681.0
                     one-north               1709.0
                     Labrador Park           1709.0
                     Yio Chu Kang            1756.5
                     Expo NSEW               1773.0
                     Kovan                   1825.0
                     Pasir Ris               1855.0
                     Esplanade               1888.0
                     Buangkok                1899.0
                     Jurong East             1922.0
                     Telok Blangah           1925.0
                     Kent Ridge              1930.5
                     Botanic Gardens CCL     1949.0
                     Khatib                  1982.0
                     Chinese Garden          2060.0
                     Lakeside                2116.0
                     Changi Airport          2136.0
                     Bukit Batok             2188.5
                     Yishun                  2196.0
                     Bukit Gombak            2232.0
                     Lorong Chuan            2266.0
                     Boon Lay                2360.0
                     Pioneer                 2497.5
                     Choa Chu Kang           2735.0
                     Sembawang               2746.0
                     Joo Koon                2782.0
                     Woodlands               2784.0
                     Punggol                 2805.0
                     Hougang                 2812.0
                     Kranji                  3070.0
                     Keat Hong               3366.0
                     Chinatown NEL           3483.0
                     Bugis NSEW              3665.0
                     Sumang                  3763.0
Bukit Batok          Bukit Gombak             329.0
                     Jurong East              374.0
                     Bukit Batok              471.5
                     Choa Chu Kang            581.0
                     Chinese Garden           628.0
                     Yew Tee                  770.5
                     Clementi                 835.0
                     Lakeside                 842.0
                     South View               896.0
                     Boon Lay                 973.0
                     Kranji                   979.0
                     Keat Hong               1003.0
                     Dover                   1033.0
                     Pioneer                 1078.0
                     Marsiling               1163.0
                     Buona Vista NSEW        1182.0
                     Buona Vista CCL         1222.0
                     Teck Whye               1266.0
                     Woodlands               1298.0
                     Commonwealth            1310.5
                     Joo Koon                1397.0
                     Admiralty               1408.0
                     Queenstown              1422.0
                     Farrer Road             1471.0
                     Holland Village         1477.5
                     one-north               1488.0
                     Redhill                 1517.0
                     Pending                 1602.0
                     Fajar                   1615.5
                     Sembawang               1652.5
                     Tiong Bahru             1683.0
                     Kent Ridge              1731.0
                     Haw Par Villa           1747.0
                     Yishun                  1778.0
                     Bangkit                 1847.0
                     Outram Park NSEW        1884.0
                     Tanjong Pagar           1966.0
                     Caldecott               1997.0
                     Khatib                  2089.0
                     Labrador Park           2095.0
                     Outram Park NEL         2109.0
                     Raffles Place           2127.0
                     Marymount               2178.0
                     City Hall               2211.0
                     Telok Ayer              2276.0
                     Chinatown NEL           2281.0
                     Clarke Quay             2298.0
                     Telok Blangah           2371.0
                     Yio Chu Kang            2372.0
                     Bugis NSEW              2385.0
                     Chinatown DTL           2395.0
                     HarbourFront NEL        2425.5
                     Dhoby Ghaut NEL         2490.0
                     Dhoby Ghaut NSEW        2494.5
                     HarbourFront CCL        2503.0
                     Ang Mo Kio              2532.0
                     Downtown                2532.0
                     Lavender                2550.0
                     Lorong Chuan            2658.0
                     Aljunied                2661.5
                     Bugis DTL               2673.0
                     Bras Basah              2684.5
                     Bishan CCL              2700.5
                     Little India NEL        2701.0
                     Bishan NSEW             2701.0
                     Orchard                 2702.5
                     Somerset                2710.0
                     Promenade               2712.5
                     Kallang                 2715.5
                     Marina Bay              2754.0
                     Braddell                2760.0
                     Farrer Park             2796.0
                     Rochor                  2803.0
                     Newton DTL              2806.0
                     Bayfront CCL            2814.5
                     Serangoon NEL           2879.0
                     Eunos                   2897.0
                     Boon Keng               2922.0
                     Paya Lebar NSEW         2923.5
                     Serangoon CCL           2937.0
                     Paya Lebar CCL          2991.0
                     Marina South Pier       3054.0
                     Tai Seng                3062.0
                     Little India DTL        3096.0
                     Kembangan               3138.0
                     Toa Payoh               3181.0
                     Novena                  3181.5
                     Nicoll Highway          3184.0
                     Bedok                   3197.5
                     Newton NSEW             3202.0
                     Kovan                   3387.0
                     Mountbatten             3441.0
                     Simei                   3520.5
                     Hougang                 3557.0
                     Tanah Merah             3606.0
                     Stadium                 3609.0
                     Tampines NSEW           3896.5
                     Bayfront DTL            3904.0
                     Expo NSEW               3953.5
                     Pasir Ris               3964.0
                     Dakota                  4182.5
                     MacPherson CCL          4257.5
                     Changi Airport          4465.0
Bukit Gombak         Bukit Batok              350.0
                     Choa Chu Kang            394.5
                     Jurong East              524.0
                     Yew Tee                  554.0
                     Kranji                   788.5
                     Chinese Garden           790.5
                     Teck Whye                840.0
                     Marsiling                902.0
                     Lakeside                 904.5
                     Phoenix                  943.0
                     Clementi                1018.5
                     Keat Hong               1035.5
                     Bukit Panjang BPLRT     1092.5
                     Boon Lay                1132.5
                     Dover                   1141.0
                     Woodlands               1156.0
                     Pioneer                 1209.0
                     Admiralty               1246.0
                     Buona Vista NSEW        1279.0
                     Pending                 1358.0
                     Commonwealth            1408.5
                     Jelapang                1442.0
                     Buona Vista CCL         1457.0
                     Fajar                   1539.0
                     Holland Village         1579.5
                     Joo Koon                1592.5
                     Sembawang               1598.0
                     Queenstown              1610.0
                     one-north               1658.5
                     Redhill                 1707.0
                     Yishun                  1758.0
                     Haw Par Villa           1884.0
                     Tiong Bahru             1889.0
                     Khatib                  1916.5
                     Kent Ridge              1968.0
                     Outram Park NSEW        1976.0
                     Farrer Road             1989.0
                     Tanjong Pagar           2104.5
                     Pasir Panjang           2131.0
                     Telok Blangah           2177.0
                     Yio Chu Kang            2198.0
                     Outram Park NEL         2220.0
                     Raffles Place           2220.5
                     Chinatown NEL           2253.0
                     Ang Mo Kio              2276.0
                     Chinatown DTL           2332.0
                     Newton DTL              2374.0
                     Marina Bay              2377.0
                     Labrador Park           2383.5
                     Clarke Quay             2387.0
                     City Hall               2400.0
                     Bishan CCL              2561.0
                     Bugis NSEW              2579.5
                     Dhoby Ghaut NSEW        2595.0
                     HarbourFront NEL        2610.0
                     Marymount               2614.0
                     Lavender                2689.5
                     Dhoby Ghaut NEL         2728.0
                     Braddell                2794.0
                     Farrer Park             2815.5
                     Somerset                2820.0
                     HarbourFront CCL        2821.0
                     Toa Payoh               2883.0
                     Aljunied                2917.0
                     Bras Basah              2926.0
                     Paya Lebar NSEW         2937.0
                     Orchard                 2937.5
                     Novena                  2941.5
                     Serangoon CCL           2954.5
                     Promenade               2996.0
                     Newton NSEW             3012.0
                     Bukit Gombak            3076.0
                     Serangoon NEL           3100.0
                     Tai Seng                3117.0
                     Potong Pasir            3138.0
                     Bayfront CCL            3208.0
                     Kovan                   3215.0
                     Bedok                   3546.5
                     Simei                   3706.5
                     Hougang                 3828.0
                     Sengkang                3907.5
                     Tampines NSEW           4070.0
                     Pasir Ris               4088.5
                     Expo NSEW               4130.0
                     Changi Airport          4420.0
Bukit Panjang BPLRT  Bukit Panjang BPLRT      112.0
                     Phoenix                  309.0
                     Teck Whye                407.5
                     Jelapang                 450.0
                     Keat Hong                488.0
                     Petir                    497.0
                     Pending                  510.0
                     Senja                    513.0
                     Fajar                    597.0
                     Bangkit                  618.0
                     South View               625.0
                     Segar                    651.0
                     Choa Chu Kang BPLRT      698.0
                     Choa Chu Kang            788.0
                     Yew Tee                 1048.0
                     Bukit Gombak            1270.0
                     Kranji                  1303.0
                     Bukit Batok             1381.5
                     Jurong East             1451.5
                     Woodlands               1596.5
                     Lakeside                1849.0
                     Clementi                1867.0
                     Dover                   1916.5
                     Chinese Garden          2043.0
                     Redhill                 2611.0
                     Yio Chu Kang            2679.0
                     Tanjong Pagar           3273.0
Bukit Panjang DTL    Cashew                   361.0
                     Hillview                 376.0
                     Beauty World             569.0
                     King Albert Park         680.0
                     Sixth Avenue             834.0
                     Tan Kah Kee              931.5
                     Botanic Gardens DTL     1058.0
                     Stevens                 1142.0
                     Botanic Gardens CCL     1245.0
                     Newton DTL              1384.0
                     Little India DTL        1512.0
                     Farrer Road             1536.0
                     Rochor                  1574.0
                     Holland Village         1580.0
                     Little India NEL        1630.5
                     Buona Vista CCL         1670.0
                     Bugis DTL               1689.0
                     Marymount               1765.0
                     Farrer Park             1773.0
                     Bugis NSEW              1844.0
                     one-north               1863.5
                     Bishan CCL              1866.0
                     Promenade               1898.0
                     Dhoby Ghaut NEL         1906.0
                     Dhoby Ghaut NSEW        1908.0
                     Bayfront CCL            1967.0
                     Boon Keng               1979.5
                     Clarke Quay             2008.0
                     Bishan NSEW             2012.0
                     Nicoll Highway          2014.0
                     Kent Ridge              2040.5
                     Lorong Chuan            2043.5
                     Bayfront DTL            2070.0
                     Downtown                2071.0
                     Potong Pasir            2073.0
                     City Hall               2078.0
                     Commonwealth            2088.0
                     Haw Par Villa           2125.0
                     Dover                   2155.0
                     Telok Ayer              2176.5
                     Serangoon CCL           2179.5
                     Esplanade               2203.0
                     Bartley                 2205.0
                     Lavender                2208.0
                     Raffles Place           2212.5
                     Chinatown NEL           2219.0
                     Outram Park NEL         2225.0
                     Pasir Panjang           2228.0
                     Stadium                 2241.0
                     Kallang                 2242.0
                     Chinatown DTL           2282.0
                     Yio Chu Kang            2300.0
                     Mountbatten             2320.0
                     Serangoon NEL           2337.0
                     HarbourFront NEL        2341.0
                     Bras Basah              2400.0
                     Aljunied                2402.5
                     Ang Mo Kio              2408.0
                     Labrador Park           2434.0
                     HarbourFront CCL        2457.0
                     Tanjong Pagar           2472.5
                     Tai Seng                2480.0
                     Redhill                 2539.0
                     Kovan                   2543.0
                     Paya Lebar CCL          2550.5
                     MacPherson CCL          2594.5
                     Paya Lebar NSEW         2602.0
                     Tiong Bahru             2626.0
                     Telok Blangah           2655.0
                     Hougang                 2743.0
                     Buangkok                2759.0
                     Dakota                  2800.0
                     Kembangan               2813.5
                     Outram Park NSEW        2849.0
                     Eunos                   2870.0
                     Bedok                   2910.0
                     Queenstown              2919.0
                     Punggol                 3068.0
                     Tanah Merah             3137.0
                     Cheng Lim               3257.0
                     Simei                   3263.5
                     Damai                   3372.0
                     Bakau                   3494.0
                     Tampines NSEW           3506.0
                     Expo NSEW               3518.0
                     Coral Edge              3578.0
                     Pasir Ris               3660.5
                     Changi Airport          3985.0
                     Farmway                 4058.0
                     Admiralty               5524.0
                     Bukit Panjang DTL       5809.0
Buona Vista CCL      Buona Vista CCL          234.0
                     Holland Village          241.0
                     one-north                264.0
                     Kent Ridge               442.0
                     Dover                    452.0
                     Farrer Road              474.0
                     Clementi                 496.5
                     Botanic Gardens CCL      534.0
                     Queenstown               551.0
                     Haw Par Villa            574.0
                     Pasir Panjang            641.0
                     Botanic Gardens DTL      674.0
                     Caldecott                773.0
                     Redhill                  811.5
                     Tiong Bahru              816.5
                     Jurong East              821.0
                     Labrador Park            829.0
                     Telok Blangah            912.0
                     Tan Kah Kee              972.0
                     Marymount                995.0
                     Newton DTL              1097.0
                     Tanjong Pagar           1129.5
                     HarbourFront CCL        1140.0
                     Bukit Batok             1169.0
                     HarbourFront NEL        1180.0
                     Little India DTL        1183.0
