origin               destination        
Admiralty            Admiralty                344.5
                     Orchard                 1114.0
                     Sembawang               1126.0
                     Tai Seng                1147.0
                     Botanic Gardens CCL     1189.5
                     Somerset                1248.0
                     MacPherson CCL          1278.0
                     Kovan                   1336.0
                     Woodleigh               1364.5
                     Dhoby Ghaut NSEW        1370.0
                     Farrer Road             1375.0
                     Admiralty               1428.0
                     Potong Pasir            1471.5
                     Holland Village         1479.5
                     Woodlands               1482.0
                     Dhoby Ghaut NEL         1484.0
                     Paya Lebar CCL          1489.0
                     City Hall               1492.5
                     Paya Lebar NSEW         1493.0
                     Buona Vista CCL         1521.5
                     Sengkang                1538.0
                     Sixth Avenue            1542.0
                     Hougang                 1649.0
                     Marsiling               1656.0
                     Raffles Place           1677.0
                     one-north               1686.0
                     Dakota                  1687.5
                     Mountbatten             1718.5
                     Boon Keng               1731.0
                     Kallang                 1739.0
                     Bras Basah              1741.5
                     Bugis NSEW              1752.0
                     Esplanade               1755.0
                     Little India NEL        1768.0
                     Farrer Park             1787.0
                     Clarke Quay             1792.5
                     King Albert Park        1827.0
                     Marina Bay              1829.0
                     Kranji                  1833.0
                     Eunos                   1862.0
                     Chinatown NEL           1881.0
                     Tanjong Pagar           1884.0
                     Lavender                1904.0
                     Kent Ridge              1923.0
                     Dover                   1934.5
                     Punggol                 1942.5
                     Promenade               1952.5
                     Stadium                 1961.5
                     Kembangan               1977.0
                     Commonwealth            2037.0
                     Haw Par Villa           2065.5
                     Beauty World            2086.0
                     Outram Park NSEW        2093.0
                     Nicoll Highway          2132.0
                     Aljunied                2159.0
                     Bedok                   2160.0
                     Labrador Park           2165.0
                     Tiong Bahru             2170.0
                     Telok Ayer              2173.0
                     Outram Park NEL         2175.0
                     Damai                   2182.0
                     Marina South Pier       2187.0
                     Bayfront CCL            2200.0
                     Yew Tee                 2216.0
                     Queenstown              2222.5
                     Redhill                 2230.0
                     HarbourFront NEL        2238.5
                     Pasir Panjang           2260.0
                     HarbourFront CCL        2278.0
                     Clementi                2298.0
                     Choa Chu Kang           2308.0
                     Tanah Merah             2402.0
                     Simei                   2416.0
